Particulars,Frequency,Unit,3-1993,3-1994,3-1995,3-1996,3-1997,3-1998,3-1999,3-2000,3-2001,3-2002,3-2003,3-2004,3-2005,3-2006,3-2007,3-2008,3-2009,3-2010,3-2011,3-2012,3-2013,3-2014
Agricultural Production Foodgrains Rice Volume Bihar,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,5447.8,2472.2,3495.5,4989.3,4418.1,5590.3,3599.3,3102.0,7160.0,7340.0,
Agricultural Production Foodgrains Rice Volume Chhattisgarh,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,5567.6,4383.3,5011.6,5041.4,5426.6,4391.8,4110.4,6159.0,6030.0,6610.0,
Agricultural Production Foodgrains Rice Volume Goa,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,126.5,134.8,170.7,145.2,147.3,130.3,121.6,123.3,100.6,115.0,,,
Agricultural Production Foodgrains Rice Volume Gujarat,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,1277.0,1238.2,1298.0,1390.0,1474.0,1303.0,1292.0,1497.0,1790.0,1500.0,
Agricultural Production Foodgrains Rice Volume Haryana,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,2790.0,3023.0,3210.0,3371.0,3613.0,3298.0,3625.0,3472.0,3760.0,3980.0,
Agricultural Production Foodgrains Rice Volume Himachal Pradesh,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,120.6,122.0,112.1,123.5,121.5,118.3,105.9,129.0,131.6,134.3,
Agricultural Production Foodgrains Rice Volume Jammu and Kashmir,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,504.2,492.2,556.8,554.0,561.3,563.1,497.4,508.0,544.7,545.6,
Agricultural Production Foodgrains Rice Volume Jharkhand,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,2310.0,1677.0,1558.0,2967.8,3336.4,3420.2,1538.4,1110.0,3130.0,3030.0,
Agricultural Production Foodgrains Rice Volume Karnataka,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,2550.3,3547.0,5744.0,3446.0,3717.0,3802.0,3691.0,4188.0,3960.0,3280.0,
Agricultural Production Foodgrains Rice Volume Kerala,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,570.0,667.1,629.9,631.0,528.5,590.3,598.3,523.0,570.0,530.0,
Agricultural Production Foodgrains Rice Volume Madhya Pradesh,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,1750.3,1169.0,1656.3,1368.4,1461.9,1559.7,1260.6,1772.0,2230.0,2780.0,
Agricultural Production Foodgrains Rice Volume Maharashtra,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,2835.0,2164.0,2695.0,2569.0,2996.0,2284.0,2183.0,2696.0,2840.0,3040.0,
Agricultural Production Foodgrains Rice Volume Manipur,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,387.3,332.6,381.2,435.9,388.1,386.1,406.2,397.0,319.9,522.0,,,
Agricultural Production Foodgrains Rice Volume Meghalaya,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,189.0,190.9,200.7,193.7,151.9,200.2,200.0,203.9,206.7,206.7,,,
Agricultural Production Foodgrains Rice Volume Mizoram,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,105.7,109.2,114.6,104.1,99.2,29.5,15.7,46.0,44.4,47.0,,,
Agricultural Production Foodgrains Rice Volume Nagaland,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,237.3,225.0,248.0,259.8,263.1,263.5,290.6,345.1,240.3,381.0,,,
Agricultural Production Foodgrains Rice Volume Orissa,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,6733.7,6466.0,6859.0,6824.7,7540.7,6812.7,6917.5,6828.0,6830.0,7640.0,
Agricultural Production Foodgrains Rice Volume Punjab,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,9656.0,10437.0,10193.0,10138.0,10489.0,11000.0,11236.0,10837.0,10540.0,11370.0,
Agricultural Production Foodgrains Rice Volume Rajasthan,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,164.8,150.4,153.0,169.8,259.6,241.1,228.3,266.0,253.4,222.5,
Agricultural Production Foodgrains Rice Volume Sikkim,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,22.3,21.2,21.2,21.6,21.5,21.5,22.9,21.7,24.3,21.0,,,
Agricultural Production Foodgrains Rice Volume Tamil Nadu,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,3222.8,5062.2,5220.0,6610.6,5040.2,5182.7,5665.2,5792.0,7460.0,4400.0,
Agricultural Production Foodgrains Rice Volume Tripura,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,587.4,602.3,516.6,545.1,552.9,620.5,624.6,627.1,640.0,703.0,,,
Agricultural Production Foodgrains Rice Volume Union Territories,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,146.0,135.3,135.2,136.6,140.0,149.1,133.9,131.5,123.1,129.7,,,
Agricultural Production Foodgrains Rice Volume Uttar Pradesh,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,13018.8,9555.6,11133.7,11124.0,11780.0,13097.0,10807.1,11992.0,14020.0,14410.0,
Agricultural Production Foodgrains Rice Volume Uttaranchal,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,569.0,572.0,590.0,556.0,593.0,582.0,608.0,550.0,599.0,581.0,
Agricultural Production Foodgrains Rice Volume West Bengal,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,14662.3,14884.8,14510.8,14745.9,14719.5,15037.2,14340.7,13046.0,14610.0,14960.0,
Agricultural Production Foodgrains Rice Yield Andhra Pradesh,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,3009.0,3111.0,2939.0,2984.0,3344.0,3246.0,3062.0,3036.0,3146.0,3126.0,
Agricultural Production Foodgrains Rice Yield Assam,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1534.0,1460.0,1468.0,1332.0,1428.0,1614.0,1737.0,1844.0,1780.0,2036.0,
Agricultural Production Foodgrains Rice Yield Bihar,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1523.0,792.0,1075.0,1486.0,1237.0,1599.0,1120.0,1095.0,2157.0,2258.0,
Agricultural Production Foodgrains Rice Yield Chhattisgarh,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1454.0,1170.0,1337.0,1354.0,1446.0,1176.0,1120.0,1665.0,1599.0,1749.0,
Agricultural Production Foodgrains Rice Yield Gujarat,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1891.0,1806.0,1949.0,1894.0,1942.0,1744.0,1903.0,1852.0,2131.0,2143.0,
Agricultural Production Foodgrains Rice Yield Haryana,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,2749.0,2941.0,3051.0,3238.0,3361.0,2726.0,3008.0,2776.0,3032.0,3262.0,
Agricultural Production Foodgrains Rice Yield Jharkland,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1695.0,1305.0,1150.0,1828.0,2018.0,2031.0,1546.0,1542.0,2129.0,2244.0,
Agricultural Production Foodgrains Rice Yield Karnataka,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,2375.0,2712.0,3868.0,2470.0,2625.0,2511.0,2482.0,2721.0,2789.0,2583.0,
Agricultural Production Foodgrains Rice Yield Kerala,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1983.0,2301.0,2284.0,2390.0,2310.0,2519.0,2557.0,2476.0,2714.0,2650.0,
Agricultural Production Foodgrains Rice Yield Madhya Pradesh,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1018.0,720.0,999.0,824.0,938.0,927.0,872.0,1106.0,1343.0,1479.0,
Agricultural Production Foodgrains Rice Yield Maharashtra,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1853.0,1425.0,1779.0,1680.0,1903.0,1501.0,1485.0,1776.0,1844.0,1961.0,
Agricultural Production Foodgrains Rice Yield Orissa,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1496.0,1446.0,1531.0,1534.0,1694.0,1529.0,1585.0,1615.0,1708.0,1896.0,
Agricultural Production Foodgrains Rice Yield Punjab,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,3694.0,3943.0,3858.0,3868.0,4019.0,4022.0,4010.0,3830.0,3738.0,3989.0,
Agricultural Production Foodgrains Rice Yield Tamil Nadu,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,2308.0,2703.0,2546.0,3423.0,2817.0,2683.0,3070.0,3031.0,3926.0,2785.0,
Agricultural Production Foodgrains Rice Yield Uttar Pradesh,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,2187.0,1790.0,1996.0,1879.0,2063.0,2171.0,2084.0,2118.0,2356.0,2459.0,
Agricultural Production Foodgrains Rice Yield West Bengal,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,2504.0,2574.0,2509.0,2593.0,2573.0,2533.0,2547.0,2642.0,2691.0,2755.0,
Agricultural Production Foodgrains Wheat Area,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,,26.38,26.48,27.99,28.04,27.75,28.46,29.07,29.86,30.0,31.3
Agricultural Production Foodgrains Wheat Volume,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,72.16,68.64,69.35,75.81,78.57,80.68,80.8,86.87,94.88,92.46,
Agricultural Production Foodgrains Wheat Yield,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,,2602.0,2619.0,2708.0,2802.0,2907.0,2839.0,2989.0,3131.0,3117.0,3059.0
Agricultural Production Foodgrains Wheat Area Assam,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,0.07,0.06,0.05,0.06,0.06,0.05,0.0584,0.045,0.05,0.05,
Agricultural Production Foodgrains Wheat Area Bihar,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,2.12,2.03,2.0,2.05,2.16,2.16,2.1933,2.104,2.14,2.22,
Agricultural Production Foodgrains Wheat Area Gujarat,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,0.76,0.73,0.92,1.2,1.27,1.09,0.878,1.274,1.35,1.05,
Agricultural Production Foodgrains Wheat Area Haryana,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,2.3,2.32,2.3,2.38,2.46,2.46,2.492,2.515,2.52,2.5,
Agricultural Production Foodgrains Wheat Area Himachal Pradesh,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,0.36,0.36,0.36,0.36,0.37,0.36,0.3525,0.357,0.36,0.36,
Agricultural Production Foodgrains Wheat Area Jammu and Kashmir,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,0.26,0.25,0.25,0.26,0.28,0.28,0.2889,0.291,0.3,0.3,
Agricultural Production Foodgrains Wheat Area Jharkhand,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,0.08,0.06,0.06,0.08,0.09,0.1,0.0997,0.096,0.16,0.16,
Agricultural Production Foodgrains Wheat Area Karnataka,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,0.23,0.24,0.25,0.27,0.28,0.27,0.283,0.255,0.23,0.23,
Agricultural Production Foodgrains Wheat Area Madhya Pradesh,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,4.05,4.14,3.69,3.99,3.74,3.79,4.2759,4.341,4.89,5.3,
Agricultural Production Foodgrains Wheat Area Maharashtra,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,0.67,0.76,0.93,1.23,1.25,1.02,1.081,1.307,0.84,0.59,
Agricultural Production Foodgrains Wheat Area Punjab,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,3.44,3.48,3.47,3.47,3.49,3.53,3.522,3.51,3.53,3.52,
Agricultural Production Foodgrains Wheat Area Rajasthan,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,2.1,2.01,2.12,2.56,2.59,2.29,2.3942,2.479,2.94,2.82,
Agricultural Production Foodgrains Wheat Area Uttar Pradesh,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,9.15,9.0,9.16,9.2,9.12,9.51,9.668,9.637,9.73,9.73,
Agricultural Production Foodgrains Wheat Area Uttaranchal,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,0.4,0.39,0.4,0.39,0.4,0.4,0.395,0.379,0.37,0.36,
Agricultural Production Foodgrains Wheat Area West Bengal,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,0.43,0.4,0.37,0.35,0.35,0.31,0.3159,0.317,0.32,0.32,
Agricultural Production Foodgrains Wheat Area Others,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,0.16,0.15,0.15,0.14,0.13,0.14,0.1592,0.162,0.13,0.14,
Agricultural Production Foodgrains Wheat Volume Arunachal Pradesh,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,5.3,6.3,6.3,8.7,6.1,6.3,5.3,5.2,4.8,6.0,,,
Agricultural Production Foodgrains Wheat Volume Assam,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,73.0,68.1,53.7,67.0,71.0,54.6,63.5,53.0,60.0,60.0,
Agricultural Production Foodgrains Wheat Volume Bihar,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,3688.9,3263.4,3239.0,3911.4,4450.4,4410.0,4570.8,4098.0,4730.0,5380.0,
Agricultural Production Foodgrains Wheat Volume Chhattisgarh,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,108.6,82.4,90.7,91.7,98.8,92.5,121.9,127.0,128.6,141.3,
Agricultural Production Foodgrains Wheat Volume Goa,"Annual, Ending mar Of Each Year",Ton th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Agricultural Production Foodgrains Wheat Volume Gujarat,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,2036.5,1805.5,2473.0,3000.0,3838.0,2593.0,2352.0,4020.0,4070.0,3140.0,
Agricultural Production Foodgrains Wheat Volume Haryana,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,9114.0,9058.0,8857.0,10055.0,10236.0,10808.2,10500.0,11630.0,12690.0,11120.0,
Agricultural Production Foodgrains Wheat Volume Himachal Pradesh,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,498.0,684.0,679.0,501.6,504.4,547.3,327.1,547.0,600.0,540.0,
Agricultural Production Foodgrains Wheat Volume Jammu and Kashmir,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,459.4,474.4,444.0,492.2,495.9,483.6,289.9,446.0,500.0,420.0,
Agricultural Production Foodgrains Wheat Volume Jharkhand,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,118.0,150.0,77.7,128.9,139.9,153.9,173.2,158.0,300.0,270.0,
Agricultural Production Foodgrains Wheat Volume Karnataka,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,96.2,179.0,217.0,205.0,261.0,247.0,251.0,279.0,190.0,170.0,
Agricultural Production Foodgrains Wheat Volume Kerala,"Annual, Ending mar Of Each Year",Ton th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Agricultural Production Foodgrains Wheat Volume Madhya Pradesh,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,7364.6,7176.6,5957.7,7325.9,6032.5,6521.9,8410.0,7627.0,11540.0,13130.0,
Agricultural Production Foodgrains Wheat Volume Maharashtra,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,778.0,1016.0,1300.0,1631.1,2078.7,1516.0,1740.0,2301.0,1310.0,880.0,
Agricultural Production Foodgrains Wheat Volume Manipur,"Annual, Ending mar Of Each Year",Ton th,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,5.0,,,
Agricultural Production Foodgrains Wheat Volume Meghalaya,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,4.8,4.7,1.5,1.6,1.2,1.2,1.1,0.7,0.7,0.7,,,
Agricultural Production Foodgrains Wheat Volume Mizoram,"Annual, Ending mar Of Each Year",Ton th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Agricultural Production Foodgrains Wheat Volume Nagaland,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,15.0,17.0,20.0,13.0,1.9,1.3,1.6,2.1,2.4,5.0,,,
Agricultural Production Foodgrains Wheat Volume Orissa,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,7.5,5.0,4.5,5.8,8.7,7.4,5.8,4.0,2.7,2.1,
Agricultural Production Foodgrains Wheat Volume Punjab,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,14489.0,14698.0,14493.0,14596.0,15720.0,15733.0,15169.0,16472.0,17280.0,16110.0,
Agricultural Production Foodgrains Wheat Volume Rajasthan,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,5875.8,5706.6,5865.3,7055.8,7124.9,7287.0,7500.9,7215.0,9320.0,8950.0,
Agricultural Production Foodgrains Wheat Volume Sikkim,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,9.8,8.9,8.1,8.3,9.0,9.0,4.5,7.8,5.9,3.0,,,
Agricultural Production Foodgrains Wheat Volume Tamil Nadu,"Annual, Ending mar Of Each Year",Ton th,,,,,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Agricultural Production Foodgrains Wheat Volume Tripura,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,2.2,2.5,1.8,5.1,2.8,2.9,1.8,,1.2,1.3,1.3,,,
Agricultural Production Foodgrains Wheat Volume Union Territories,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,33.0,81.1,103.3,72.1,80.5,78.8,79.2,75.5,93.7,111.0,,,
Agricultural Production Foodgrains Wheat Volume Uttar Pradesh,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,25566.7,22513.9,24073.8,25031.0,25679.0,28554.0,27518.0,30001.0,30290.0,30300.0,
Agricultural Production Foodgrains Wheat Volume Uttaranchal,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,745.0,803.0,645.0,801.0,814.0,797.0,845.0,878.0,880.0,840.0,
Agricultural Production Foodgrains Wheat Volume West Bengal,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,985.7,841.5,773.5,799.9,917.3,764.5,846.7,874.0,870.0,910.0,
Agricultural Production Foodgrains Wheat Yield Assam,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1043.0,1066.0,1074.0,1117.0,1268.0,1090.0,1087.0,1179.0,1147.0,1188.0,
Agricultural Production Foodgrains Wheat Yield Bihar,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1776.0,1609.0,1617.0,1908.0,2058.0,2043.0,2084.0,1948.0,2206.0,2427.0,
Agricultural Production Foodgrains Wheat Yield Gujarat,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,2681.0,2482.0,2700.0,2498.0,3013.0,2377.0,2679.0,3155.0,3014.0,2986.0,
Agricultural Production Foodgrains Wheat Yield Haryana,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,3937.0,3901.0,3844.0,4232.0,4158.0,4390.0,4213.0,4624.0,5030.0,4452.0,
Agricultural Production Foodgrains Wheat Yield Himachal Pradesh,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1380.0,1890.0,1894.0,1385.0,1376.0,1520.0,928.0,1530.0,1671.0,1514.0,
Agricultural Production Foodgrains Wheat Yield Jammu and Kashmir,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1804.0,1910.0,1790.0,1893.0,1782.0,1735.0,1003.0,1535.0,1689.0,1404.0,
Agricultural Production Foodgrains Wheat Yield Jharkhand,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,552.0,2381.0,1340.0,1529.0,1621.0,1541.0,1738.0,1642.0,1908.0,1716.0,
Agricultural Production Foodgrains Wheat Yield Karnataka,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,415.0,740.0,858.0,762.0,946.0,918.0,887.0,1094.0,858.0,735.0,
Agricultural Production Foodgrains Wheat Yield Madhya Pradesh,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1800.0,1735.0,1613.0,1835.0,1612.0,1723.0,1967.0,1757.0,2360.0,2478.0,
Agricultural Production Foodgrains Wheat Yield Maharashtra,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1170.0,1344.0,1393.0,1325.0,1659.0,1483.0,1610.0,1761.0,1558.0,1473.0,
Agricultural Production Foodgrains Wheat Yield Punjab,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,4207.0,4221.0,4179.0,4210.0,4507.0,4462.0,4307.0,4693.0,4898.0,4573.0,
Agricultural Production Foodgrains Wheat Yield Rajasthan,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,2794.0,2839.0,2762.0,2751.0,2749.0,3175.0,3133.0,2910.0,3175.0,3175.0,
Agricultural Production Foodgrains Wheat Yield Uttar Pradesh,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,2794.0,2502.0,2627.0,2721.0,2817.0,3002.0,2846.0,3113.0,3113.0,3113.0,
Agricultural Production Foodgrains Wheat Yield Uttaranchal,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1877.0,2038.0,1633.0,2049.0,2050.0,2003.0,2139.0,2316.0,2379.0,2341.0,
Agricultural Production Foodgrains Wheat Yield West Bengal,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,2315.0,2103.0,2109.0,2282.0,2602.0,2490.0,2680.0,2760.0,2765.0,2817.0,
Agricultural Production Foodgrains Coarse Cereals Area,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,,29.03,29.04,28.71,28.48,27.45,27.68,28.34,26.42,24.8,25.5
Agricultural Production Foodgrains Coarse Cereals Volume,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,37.6,33.47,34.07,33.92,40.75,40.04,33.55,43.4,42.01,40.08,
Agricultural Production Foodgrains Coarse Cereals Yield,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,,1153.0,1172.0,1182.0,1431.0,1459.0,1212.0,1531.0,1590.0,1626.0,1672.0
Agricultural Production Foodgrains Coarse Cereals Area Andhra Pradesh,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,1.64,1.37,1.39,1.3,1.28,1.27,1.28,1.14,1.25,1.41,
Agricultural Production Foodgrains Coarse Cereals Area Bihar,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,0.65,0.66,0.7,0.69,0.69,0.68,0.66,0.69,0.71,0.72,
Agricultural Production Foodgrains Coarse Cereals Area Chhattisgarh,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,0.37,0.35,0.35,0.33,0.32,0.28,0.27,0.28,0.27,0.26,
Agricultural Production Foodgrains Coarse Cereals Area Gujarat,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,1.77,1.6,1.61,1.63,1.57,1.44,1.4,1.55,1.59,1.25,
Agricultural Production Foodgrains Coarse Cereals Area Haryana,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,0.77,0.71,0.72,0.76,0.77,0.76,0.71,0.78,0.69,0.52,
Agricultural Production Foodgrains Coarse Cereals Area Himachal Pradesh,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,0.34,0.36,0.33,0.33,0.33,0.33,0.32,0.33,0.32,0.31,
Agricultural Production Foodgrains Coarse Cereals Area Jammu and Kashmir,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,0.35,0.36,0.35,0.37,0.35,0.36,0.36,0.35,0.35,0.35,
Agricultural Production Foodgrains Coarse Cereals Area Jharkhand,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,0.25,0.25,0.22,0.29,0.29,0.26,0.21,0.25,0.23,0.25,
Agricultural Production Foodgrains Coarse Cereals Area Karnataka,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,3.66,3.91,3.88,3.41,3.8,3.59,3.71,3.65,3.48,3.59,
Agricultural Production Foodgrains Coarse Cereals Area Madhya Pradesh,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,2.34,2.19,2.04,2.02,1.96,1.89,1.8,1.76,1.77,1.64,
Agricultural Production Foodgrains Coarse Cereals Area Maharashtra,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,6.49,6.95,6.87,6.86,6.32,5.79,6.19,6.17,5.2,4.69,
Agricultural Production Foodgrains Coarse Cereals Area Orissa,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,0.17,0.18,0.17,0.16,0.17,0.16,0.17,0.21,0.19,0.18,
Agricultural Production Foodgrains Coarse Cereals Area Punjab,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,0.19,0.19,0.18,0.18,0.18,0.18,0.16,0.15,0.14,0.15,
Agricultural Production Foodgrains Coarse Cereals Area Rajasthan,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,7.9,6.37,6.77,6.82,7.02,7.1,7.23,7.7,6.91,5.98,
Agricultural Production Foodgrains Coarse Cereals Area Tamil Nadu,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,0.95,0.82,0.74,0.7,0.7,0.72,0.65,0.63,0.64,0.7,
Agricultural Production Foodgrains Coarse Cereals Area Uttar Pradesh,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,2.39,2.15,2.15,2.2,2.1,1.99,1.93,2.06,2.03,2.0,
Agricultural Production Foodgrains Coarse Cereals Area Uttaranchal,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,0.3,0.29,0.27,0.26,0.26,0.27,0.26,0.26,0.25,0.25,
Agricultural Production Foodgrains Coarse Cereals Area West Bengal,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,0.06,0.07,0.07,0.11,0.1,0.11,0.11,0.1,0.11,0.12,
Agricultural Production Foodgrains Coarse Cereals Area Others,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,0.22,0.25,4.13,3.7,0.27,0.26,0.26,0.37,0.29,0.27,
Agricultural Production Foodgrains Coarse Cereals Volume Andhra Pradesh,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,3498.0,2771.0,3862.0,3001.0,4274.0,4716.0,3318.0,4348.8,4230.0,5440.0,
Agricultural Production Foodgrains Coarse Cereals Volume Arunachal Pradesh,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,65.4,69.6,70.4,75.8,75.8,76.4,80.3,84.9,76.8,77.7,,,,,
Agricultural Production Foodgrains Coarse Cereals Volume Assam,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,18.0,18.0,17.6,18.0,17.0,15.4,17.0,17.0,16.0,17.0,
Agricultural Production Foodgrains Coarse Cereals Volume Bihar,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,1513.3,1501.9,1405.5,1759.7,1498.5,1751.3,1508.1,1338.2,1650.0,2370.0,
Agricultural Production Foodgrains Coarse Cereals Volume Chhattisgarh,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,212.9,189.5,159.3,178.3,229.7,184.4,181.8,205.4,210.0,240.0,
