Particulars,Frequency,Unit,3-1993,3-1994,3-1995,3-1996,3-1997,3-1998,3-1999,3-2000,3-2001,3-2002,3-2003,3-2004,3-2005,3-2006,3-2007,3-2008,3-2009,3-2010,3-2011,3-2012,3-2013,3-2014
Agricultural Production Plantation Crops Onion,"Annual, Ending mar Of Each Year",Ton mn,,,,,4.18,3.62,5.33,4.9,4.55,4.83,4.21,5.92,6.43,8.68,,,,,,,,
Agricultural Production Plantation Crops Tobacco,"Annual, Ending mar Of Each Year",Ton mn,,,,,0.62,0.64,0.74,0.52,0.34,0.55,0.5,0.54,0.55,0.55,,,,,,,,
Agricultural Production Plantation Crops Coconut,"Annual, Ending mar Of Each Year",Unit mn,,,,,13061.0,12717.0,12536.0,12129.0,12597.0,12963.0,12535.0,12178.0,12833.0,14811.0,,,,,,,,
Agricultural Production Plantation Crops Cashewnut,"Annual, Ending mar Of Each Year",Ton mn,,,,0.418,0.43,0.36,0.46,0.52,0.45,0.47,0.5,0.535,0.544,,,,,,,,,
Agricultural Production Major Crops Target Rice,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,93.0,93.5,87.8,92.8,93.0,97.0,100.5,102.0,102.0,104.0,
Agricultural Production Major Crops Target Wheat,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,78.0,79.5,75.53,75.53,75.5,78.5,79.0,82.0,84.0,88.0,
Agricultural Production Major Crops Target Coarse Cereals,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,34.0,36.8,36.52,36.52,37.5,42.0,43.1,44.0,42.0,44.0,
Agricultural Production Major Crops Target Pulses,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,15.0,15.3,15.15,15.15,15.5,15.5,16.5,16.5,17.0,18.24,
Agricultural Production Major Crops Target Foodgrains,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,220.0,225.1,215.0,220.0,221.5,233.0,239.1,244.5,245.0,254.24,
Agricultural Production Major Crops Target Oilseeds,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,24.7,26.2,26.58,29.4,30.0,31.75,31.6,33.2,33.6,33.5,
Agricultural Production Major Crops Target Sugarcane,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,320.0,270.0,237.5,270.0,310.0,340.0,340.0,315.0,350.0,352.0,
